ReturnHeader-Filer-EIN,ReturnHeader-Filer-BusinessName-BusinessNameLine1Txt,ReturnHeader-TaxPeriodEndDt,ReturnHeader-PreparerFirmGrp-PreparerUSAddress-AddressLine1Txt,ReturnHeader-PreparerFirmGrp-PreparerUSAddress-CityNm,ReturnHeader-PreparerFirmGrp-PreparerUSAddress-StateAbbreviationCd,ReturnHeader-PreparerFirmGrp-PreparerUSAddress-ZIPCd,ReturnHeader-Filer-USAddress-AddressLine1Txt,ReturnHeader-Filer-USAddress-CityNm,ReturnHeader-Filer-USAddress-StateAbbreviationCd,ReturnHeader-Filer-USAddress-ZIPCd,ReturnHeader-Filer-BusinessNameControlTxt,ReturnHeader-Filer-PhoneNum,ReturnHeader-Filer-BusinessOfficerGrp-PersonNm,ReturnHeader-Filer-BusinessOfficerGrp-PersonTitleTxt,ReturnData-IRS990-AccountsReceivableGrp-BOYAmt,ReturnData-IRS990-AccountsReceivableGrp-EOYAmt
540505878,CHATHAM HALL,2016-06-30,PO BOX 3424,DANVILLE,VA,245433424,800 CHATHAM HALL CIRCLE,CHATHAM,VA,24531,CHAT,4344322941,,,21540,60574
042104273,MISS HALL'S SCHOOL INC,2016-06-30,330 WHITNEY AVE SUITE 800,HOLYOKE,MA,01040,492 HOLMES ROAD,PITTSFIELD,MA,01201,MISS,4134436401,,,35626,91221
041975990,THE WILLISTON NORTHAMPTON SCHOOL,2016-06-30,29 S MAIN STREET PO BOX 272000,WEST HARTFORD,CT,061272000,19 PAYSON AVENUE,EASTHAMPTON,MA,010272213,WILL,4135293279,,,3611,21748
390806363,WAYLAND ACADEMY,2016-06-30,2110 LUANN LN,MADISON,WI,537133074,101 N UNIVERSITY AVE,BEAVER DAM,WI,539162253,WAYL,9203562120,,,57362,84963
232263178,THE HILLSIDE SCHOOL,2016-06-30,1033 S CEDAR CREST BLVD,ALLENTOWN,PA,181035443,2697 BROOKSIDE ROAD,MACUNGIE,PA,18062,HILL,6109675449,,,2658,1283
020222239,TILTON SCHOOL,2016-06-30,70 COMMERCIAL STREET 4TH FLOOR,CONCORD,NH,03301,30 SCHOOL STREET,TILTON,NH,03276,TILT,6032864342,,,16583,9729
060646888,SALISBURY SCHOOL INC,2016-06-30,609 FARMINGTON AVE STE 201,HARTFORD,CT,06105,251 CANAAN RD,SALISBURY,CT,06068,SALI,8604355711,,,265377,158402
042108341,Allen-Chase Foundation,2016-06-30,350 Church Street 12th floor,Hartford,CT,06103,271 PINE NOOK ROAD,DEERFIELD,MA,01342,ALLE,4137747411,,,24534,368
520591413,SAINT JAMES SCHOOL,2016-06-30,1110 PROFESSIONAL COURT SUITE 300,HAGERSTOWN,MD,21740,17641 COLLEGE RD,HAGERSTOWN,MD,21740,SAIN,3017339330,,,125480,114390
141413770,Millbrook School,2016-06-30,350 Church Street 12th floor,Hartford,CT,06103,131 Millbrook School ROAD,Millbrook,NY,12545,MILL,8456778261,,,,
020147630,HOLDERNESS SCHOOL,2016-06-30,70 COMMERCIAL ST STE 401,CONCORD,NH,03301,CHAPEL LANE PO BOX 1879,PLYMOUTH,NH,03264,HOLD,6035361748,,,15410,59242
510236362,Christchurch School Foundation,2016-06-30,1111 Metropolitan Ave Ste 1000,Charlotte,NC,28204,C/O CHRISTCHURCH SCHOOL,CHRISTCHURCH,VA,23031,CHRI,8047582306,,,171510,185269
020222227,ST PAUL'S SCHOOL,2016-06-30,80 CITY SQUARE,BOSTON,MA,021293742,325 PLEASANT STREET,CONCORD,NH,03301,STPA,6032294737,,,274466,225595
020222221,THE WHITE MOUNTAIN SCHOOL,2016-06-30,70 COMMERCIAL STREET 4TH FLOOR,CONCORD,NH,03301,WEST FARM ROAD,BETHLEHEM,NH,03574,WHIT,6034442928,,,9692,17905
