ReturnHeader-Filer-EIN,ReturnHeader-Filer-BusinessName-BusinessNameLine1Txt,ReturnHeader-TaxPeriodEndDt,ReturnHeader-PreparerFirmGrp-PreparerUSAddress-AddressLine1Txt,ReturnHeader-PreparerFirmGrp-PreparerUSAddress-CityNm,ReturnHeader-PreparerFirmGrp-PreparerUSAddress-StateAbbreviationCd,ReturnHeader-PreparerFirmGrp-PreparerUSAddress-ZIPCd,ReturnHeader-Filer-USAddress-AddressLine1Txt,ReturnHeader-Filer-USAddress-CityNm,ReturnHeader-Filer-USAddress-StateAbbreviationCd,ReturnHeader-Filer-USAddress-ZIPCd,ReturnHeader-Filer-BusinessNameControlTxt,ReturnHeader-Filer-PhoneNum,ReturnHeader-BusinessOfficerGrp-PersonNm,ReturnHeader-BusinessOfficerGrp-PersonTitleTxt,ReturnHeader-BusinessOfficerGrp-PhoneNum,ReturnData-IRS990-WebsiteAddressTxt,ReturnData-IRS990-FormationYr,ReturnData-IRS990-ActivityOrMissionDesc,ReturnData-IRS990-TotalEmployeeCnt,ReturnData-IRS990-TotalVolunteersCnt,ReturnData-IRS990-PYContributionsGrantsAmt,ReturnData-IRS990-CYContributionsGrantsAmt,ReturnData-IRS990-PYProgramServiceRevenueAmt,ReturnData-IRS990-CYProgramServiceRevenueAmt,ReturnData-IRS990-PYInvestmentIncomeAmt,ReturnData-IRS990-CYInvestmentIncomeAmt,ReturnData-IRS990-PYOtherRevenueAmt,ReturnData-IRS990-CYOtherRevenueAmt,ReturnData-IRS990-PYTotalRevenueAmt,ReturnData-IRS990-CYTotalRevenueAmt,ReturnData-IRS990-PYGrantsAndSimilarPaidAmt,ReturnData-IRS990-CYGrantsAndSimilarPaidAmt,ReturnData-IRS990-PYBenefitsPaidToMembersAmt,ReturnData-IRS990-CYBenefitsPaidToMembersAmt,ReturnData-IRS990-PYSalariesCompEmpBnftPaidAmt,ReturnData-IRS990-CYSalariesCompEmpBnftPaidAmt,ReturnData-IRS990-PYTotalProfFndrsngExpnsAmt,ReturnData-IRS990-CYTotalProfFndrsngExpnsAmt,ReturnData-IRS990-PYTotalFundraisingExpenseAmt,ReturnData-IRS990-CYTotalFundraisingExpenseAmt,ReturnData-IRS990-PYOtherExpensesAmt,ReturnData-IRS990-CYOtherExpensesAmt,ReturnData-IRS990-PYTotalExpensesAmt,ReturnData-IRS990-CYTotalExpensesAmt,ReturnData-IRS990-PYRevenuesLessExpensesAmt,ReturnData-IRS990-CYRevenuesLessExpensesAmt,ReturnData-IRS990-TotalAssetsBOYAmt,ReturnData-IRS990-TotalAssetsEOYAmt,ReturnData-IRS990-TotalLiabilitiesBOYAmt,ReturnData-IRS990-TotalLiabilitiesEOYAmt,ReturnData-IRS990-NetAssetsOrFundBalancesBOYAmt,ReturnData-IRS990-NetAssetsOrFundBalancesEOYAmt,ReturnData-IRS990-MissionDesc,ReturnData-IRS990-AccountsReceivableGrp-BOYAmt,ReturnData-IRS990-AccountsReceivableGrp-EOYAmt
540505878,CHATHAM HALL,2016-06-30,PO BOX 3424,DANVILLE,VA,245433424,800 CHATHAM HALL CIRCLE,CHATHAM,VA,24531,CHAT,4344322941,RONALD MERRICKS,CFO,4344322941,WWW.CHATHAMHALL.ORG,1894,PRIVATE SCHOOL,102,0,4115471,3656377,5972833,5973264,3118700,-981378,0,0,13207004,8648263,3101000,2615450,0,0,4663078,4953319,0,0,,624921,4318859,4664604,12082937,12233373,1124067,-3585110,77666430,75881688,4844115,5976057,72822315,69905631,"CHATHAM HALL PREPARES GIRLS FOR COLLEGE AND FOR PRODUCTIVE LIVES. OUR RIGOROUS EDUCATIONAL PROGRAM ENCOURAGES INTELLECTUAL GROWTH, CREATIVITY, AND PERSONAL RESPONSIBILITY. WE FOSTER THE INTELLECT AND CHARACTER OF EACH STUDENT AND, THROUGH OUR HONOR CODE, LIVE IN A COMMUNITY OF TRUST. GROUNDED IN ITS EPISCOPAL HERITAGE, THE SCHOOL WELCOMES STUDENTS OF ALL FAITHS AND BACKGROUNDS.",21540,60574
042104273,MISS HALL'S SCHOOL INC,2016-06-30,330 WHITNEY AVE SUITE 800,HOLYOKE,MA,01040,492 HOLMES ROAD,PITTSFIELD,MA,01201,MISS,4134436401,STACY SOTIRHOS,PRESIDENT,4134436401,WWW.MISSHALLS.ORG,1924,"TO EDUCATE, INSPIRE, AND ENCOURAGE GIRLS IN GRADES 9 THROUGH 12.",151,274,5521845,3206586,10439018,10412054,1680727,1378063,166066,418398,17807656,15415101,3296257,3397453,0,0,7050638,7599867,23075,25338,,936198,4475771,4359654,14845741,15382312,2961915,32789,40294833,45096674,6683344,13343986,33611489,31752688,"TO INSPIRE AND ENCOURAGE GIRLS IN GRADES 9 THROUGH 12 TO PURSUE THE HIGHEST STANDARDS OF LEARNING AND CHARACTER; TO CONTRIBUTE BOLDLY AND CREATIVELY TO THE COMMON GOOD; AND TO SEEK A PURPOSEFUL LIFE BASED ON HONOR, RESPECT AND PERSONAL AUTHENTICITY.",35626,91221
041975990,THE WILLISTON NORTHAMPTON SCHOOL,2016-06-30,29 S MAIN STREET PO BOX 272000,WEST HARTFORD,CT,061272000,19 PAYSON AVENUE,EASTHAMPTON,MA,010272213,WILL,4135293279,CHARLES B MCCULLAGH JR,CFO/ASST. TREASURER,4135293279,WWW.WILLISTON.COM,1841,TO OPERATE AN INNOVATIVE PRIVATE SCHOOL THAT EDUCATES YOUNG MINDS AND PREPARES THEM TO THRIVE IN A GLOBAL SOCIETY.,283,175,3163656,2756877,23583066,23626820,3185641,1689880,1074429,1225756,31006792,29299333,6540762,6811505,0,0,15083504,14340408,497,252,,2099580,9996846,10142798,31621609,31294963,-614817,-1995630,79871527,75857434,35645104,36798556,44226423,39058878,"THE WILLISTON NORTHAMPTON SCHOOL INSPIRES STUDENTS TO LIVE WITH PURPOSE, PASSION AND INTEGRITY. THE SCHOOL'S PHILOSOPHY COMPRISES THE TENENTS OF RESPECT FOR SELF AND OTHERS, RESPONSIBILITY AND TRUST, AND HONESTY AND INTEGRITY. THE SCHOOL'S VALUES ARE ENCAPSULATED BY THESE TENENTS: ACADEMIC EXCELLENCE, INDIVIDUALITY, RESPONSIBILITY, COMMUNITY AND COLLABORATION.",3611,21748
390806363,WAYLAND ACADEMY,2016-06-30,2110 LUANN LN,MADISON,WI,537133074,101 N UNIVERSITY AVE,BEAVER DAM,WI,539162253,WAYL,9203562120,RODNEY MILLER,CHIEF FINANCIAL OFFICER,9203562120,WWW.WAYLAND.ORG,1855,WAYLAND ACADEMY PREPARES EACH STUDENT FOR COLLEGE AND BEYOND THROUGH A LIBERAL ARTS CURRICULUM AND CAMPUS PROGRAMS DEVOTED TO THE PURSUIT OF KNOWLEDGE AND THE DEVELOPMENT OF CHARACTER.,55,380,1655255,897999,4974058,5025080,218101,236196,4939,3449,6852353,6162724,0,0,0,0,2711272,2825133,0,0,,448394,3534948,3663376,6246220,6488509,606133,-325785,29201491,28519697,4727267,4603971,24474224,23915726,WAYLAND ACADEMY PREPARES EACH STUDENT FOR COLLEGE AND BEYOND THROUGH A LIBERAL ARTS CURRICULUM AND CAMPUS PROGRAMS DEVOTED TO THE PURSUIT OF KNOWLEDGE AND THE DEVELOPMENT OF CHARACTER.,57362,84963
232263178,THE HILLSIDE SCHOOL,2016-06-30,1033 S CEDAR CREST BLVD,ALLENTOWN,PA,181035443,2697 BROOKSIDE ROAD,MACUNGIE,PA,18062,HILL,6109675449,DONNA HENRY,HEAD OF SCHOOL,6109675449,WWW.HILLSIDESCHOOL.ORG,1983,THE MISSION OF THE HILLSIDE SCHOOL IS TO MAXIMIZE THE POTENTIAL OF CHILDREN WITH LEARNING DISABILITIES THROUGH EXCELLENCE IN EDUCATION.,41,75,426948,341959,1376329,1642511,231323,-40068,1347,-11864,2035947,1932538,398270,390050,0,0,1260067,1375109,0,0,,114473,510097,537186,2168434,2302345,-132487,-369807,7375325,6980937,167512,175342,7207813,6805595,"THIS ACCREDITED, NON-PROFIT K-8 SCHOOL HAS ESTABLISHED A TWO-FOLD VISION TO ACCOMPLISH ITS MISSION. THE FIRST IS TO BE A LEADER IN THE EDUCATION OF CHILDREN WITH LEARNING DISABILITIES; THE SECOND IS TO EDUCATE AND DEVELOP COMMUNITY AWARENESS OF THE NEEDS OF CHILDREN AND ADULTS WITH LEARNING DISABILITIES.",2658,1283
020222239,TILTON SCHOOL,2016-06-30,70 COMMERCIAL STREET 4TH FLOOR,CONCORD,NH,03301,30 SCHOOL STREET,TILTON,NH,03276,TILT,6032864342,PETER SALIBA,HEAD OF SCHOOL,6032864342,WWW.TILTONSCHOOL.ORG,1845,"TILTON SCHOOL IS AN INDEPENDENT, COEDUCATIONAL, COLLEGE PREPARATORY SCHOOL SERVING STUDENTS FROM 9TH THROUGH 12TH GRADE AND POST-GRADUATES. TILTON'S STUDENT BODY OF 257 CONSISTS OF 67 DAY STUDENTS AND 190 BOARDING STUDENTS FROM 18 STATES AND 20 COUNTRIES. ALTHOUGH THE TILTON EXPERIENCE IS DIFFERENT FOR EVERY STUDENT, IT INSPIRES AND ENCOURAGES ALL STUDENTS TO TRY NEW THINGS, LEARN NEW SKILLS, AND SET NEW GOALS.STUDENTS AT TILTON SCHOOL ARE CHALLENGED TO EMBRACE AND NAVIGATE A WORLD MARKED BY DIVERSITY AND CHANGE. THROUGH THE QUALITY OF HUMAN RELATIONSHIPS, THE TILTON SCHOOL COMMUNITY CULTIVATES IN ITS STUDENTS THE CURIOSITY, SKILLS, KNOWLEDGE, UNDERSTANDING, AND THE CHARACTER AND INTEGRITY REQUISITE FOR THE PASSIONATE PURSUIT OF LIFELONG PERSONAL SUCCESS AND SERVICE.",135,125,2410162,1366702,12407237,13826287,591853,565949,0,0,15409252,15758938,3482535,3985235,0,0,5139407,5381883,0,0,,691616,5928849,6402490,14550791,15769608,858461,-10670,43035343,43034501,23276370,24578601,19758973,18455900,"TILTON SCHOOL IS AN INDEPENDENT, COEDUCATIONAL, COLLEGE PREPARATORY SCHOOL SERVING STUDENTS FROM 9TH THROUGH 12TH GRADE AND POST-GRADUATES. TILTON'S STUDENT BODY OF 257 CONSISTS OF 67 DAY STUDENTS AND 190 BOARDING STUDENTS FROM 18 STATES AND 20 COUNTRIES. ALTHOUGH THE TILTON EXPERIENCE IS DIFFERENT FOR EVERY STUDENT, IT INSPIRES AND ENCOURAGES ALL STUDENTS TO TRY NEW THINGS, LEARN NEW SKILLS, AND SET NEW GOALS.STUDENTS AT TILTON SCHOOL ARE CHALLENGED TO EMBRACE AND NAVIGATE A WORLD MARKED BY DIVERSITY AND CHANGE. THROUGH THE QUALITY OF HUMAN RELATIONSHIPS, THE TILTON SCHOOL COMMUNITY CULTIVATES IN ITS STUDENTS THE CURIOSITY, SKILLS, KNOWLEDGE, UNDERSTANDING, AND THE CHARACTER AND INTEGRITY REQUISITE FOR THE PASSIONATE PURSUIT OF LIFELONG PERSONAL SUCCESS AND SERVICE. .",16583,9729
060646888,SALISBURY SCHOOL INC,2016-06-30,609 FARMINGTON AVE STE 201,HARTFORD,CT,06105,251 CANAAN RD,SALISBURY,CT,06068,SALI,8604355711,MARK SCHMIDT,BUSINESS MANAGER,8604355711,www.salisburyschool.org,1901,Education: Salisbury School is an independent boy's secondary school (grades 9 thru 12) for boarding and day students. The school recruits students from around the world.,238,80,12599247,4391448,18612339,19495278,3936660,473849,421118,297490,35569364,24658065,4018434,4205089,,0,10319742,10909225,,0,,1463678,11543729,10603827,25881905,25718141,9687459,-1060076,230320318,207272388,110546912,97349149,119773406,109923239,Education:,265377,158402
042108341,Allen-Chase Foundation,2016-06-30,350 Church Street 12th floor,Hartford,CT,06103,271 PINE NOOK ROAD,DEERFIELD,MA,01342,ALLE,4137747411,ERIC MALLOY,CHIEF FINANCIAL OFFICER,4137747411,www.eaglebrook.org,1937,"Eaglebrook is a school for boys in the 6th, 7th, 8th, and 9th grades. In a warm, caring, structured atmosphere boys learn more than they ever thought possible, discover inner resources, develop self-confidence, and have fun along the way. Eaglebrook welcomes boys of any race, color, nationality, sexual orientation religion, and all share the same privileges and duties.Eaglebrook's role is to help each boy come in to full and confident possession of his innate talents, to improve the skills needed for the challenges of secondary school, and to establish values that will allow him to be a person who respects individual differences and acts with thoughtfulness and humanity.At the heart of the school is the shared life of teachers, their families, and boys working together. Teachers make learning an adventure and watch over each boy's personal growth. They set the academic tone, coach the teams, serve as dormitory parents, and are available for a boy when he needs a friend.",211,0,10356059,10872653,12487108,13153851,3924456,1297170,506332,150517,27273955,25474191,1715643,1876797,0,0,9052666,9258941,84465,35200,,1194967,7815002,8012901,18667776,19183839,8606179,6290352,166014531,164601341,35681632,31648486,130332899,132952855,"Eaglebrook is a school for boys in the 6th, 7th, 8th, and 9th grades. In a warm, caring, structured atmosphere boys learn more than they ever thought possible, discover inner resources, develop self-confidence, and have fun along the way. Eaglebrook welcomes boys of any race, color, nationality, sexual orientation religion, and all share the same privileges and duties.Eaglebrook's role is to help each boy come in to full and confident possession of his innate talents, to improve the skills needed for the challenges of secondary school, and to establish values that will allow him to be a person who respects individual differences and acts with thoughtfulness and humanity.At the heart of the school is the shared life of teachers, their families, and boys working together. Teachers make learning an adventure and watch over each boy's personal growth. They set the academic tone, coach the teams, serve as dormitory parents, and are available for a boy when he needs a friend.",24534,368
520591413,SAINT JAMES SCHOOL,2016-06-30,1110 PROFESSIONAL COURT SUITE 300,HAGERSTOWN,MD,21740,17641 COLLEGE RD,HAGERSTOWN,MD,21740,SAIN,3017339330,WILLIAM J WIVELL,BUSINESS MANAGER,3017339330,WWW.STJAMES.EDU,1842,A COLLEGE PREPARATORY SCHOOL AFFILIATED WITH THE EPISCOPAL CHURCH.,128,63,2129564,6117964,8950154,9794863,3897717,-210652,238981,297450,15216416,15999625,2330508,2601581,0,0,4007207,4199106,0,0,,437182,5941104,6033542,12278819,12834229,2937597,3165396,49732127,51773799,7707246,6638861,42024881,45134938,"TO PREPARE YOUNG MEN AND WOMEN FOR ACADEMIC SUCCESS IN COLLEGE, AND TO CHALLENGE AND INSPIRE THEM TO BE LEADERS FOR GOOD IN THE WORLD. WE SEEK TO DO THIS WITHIN A SMALL AND FAMILIAL RESIDENTIAL COMMUNITY WHICH VALUES THE MORAL AND SPIRITUAL DEVELOPMENT OF OUR STUDENTS.",125480,114390
141413770,Millbrook School,2016-06-30,350 Church Street 12th floor,Hartford,CT,06103,131 Millbrook School ROAD,Millbrook,NY,12545,MILL,8456778261,Robert W Connolly,CFO,8456778261,WWW.MILLBROOK.ORG,1932,"MILLBROOK SCHOOL IS a COEDUCATIONAL, COLLEGE PREPARATORY School which offers college preparatory education to its boarding and day students.",203,0,7740912,11097240,16411126,18186689,633309,1381385,40898,22448,24826245,30687762,2876145,3282233,0,0,9230691,9949469,51238,56441,,1735911,8918899,8876778,21076973,22164921,3749272,8522841,106846227,114048858,23544614,25560577,83301613,88488281,"MILLBROOK SCHOOL IS A SMALL, COEDUCATIONAL, COLLEGE PREPARATORY BOARDING SCHOOL WHERE CLOSE, NURTURING, AND STIMULATING RELATIONSHIPS BETWEEN STUDENTS AND THEIR TEACHERS HAVE BEEN THE SCHOOL'S HALLMARK SINCE ITS FOUNDING. OUR GOAL IS TO PROMOTE IN EACH STUDENT THE INTELLECTUAL, EMOTIONAL, SPIRITUAL, AND PHYSICAL GROWTH WHICH WILL LEAD TO A LIFE BOTH INDIVIDUALLY SATISFYING AND VALUABLE TO THE GREATER SOCIETY.",,
