Filer-EIN,Filer-BusinessName-BusinessNameLine1Txt,GrantTypeTxt-1,GrantTypeTxt-2,GrantTypeTxt-3,GrantTypeTxt-4,GrantTypeTxt-5,RecipientCnt-1,RecipientCnt-2,RecipientCnt-3,RecipientCnt-4,RecipientCnt-5,CashGrantAmt-1,CashGrantAmt-2,CashGrantAmt-3,CashGrantAmt-4,CashGrantAmt-5,NonCashAssistanceAmt-1,NonCashAssistanceAmt-2,NonCashAssistanceAmt-3,NonCashAssistanceAmt-4,NonCashAssistanceAmt-5,ValuationMethodUsedDesc-1,ValuationMethodUsedDesc-2,ValuationMethodUsedDesc-3,ValuationMethodUsedDesc-4,ValuationMethodUsedDesc-5,NonCashAssistanceDesc-1,NonCashAssistanceDesc-2,NonCashAssistanceDesc-3,NonCashAssistanceDesc-4,NonCashAssistanceDesc-5
540505878,CHATHAM HALL,FINANCIAL AID,,,,,85,,,,,"",,,,,2615450,,,,,TUITON REDUCTION,,,,,FINANCIAL AID BASED ON NEED & MERIT,,,,
042104273,MISS HALL'S SCHOOL INC,STUDENT FINANCIAL AID/RESIDENT TUITION,STUDENT FINANCIAL AID/DAY TUITION,STUDENT FINANCIAL AID/OTHER,SCHOLARSHIPS,TUITION REMISSION,44,51,5,28,8,1435871,861953,8309,240658,259680,"","","","","","","","","","","","","","",""
041975990,THE WILLISTON NORTHAMPTON SCHOOL,FINANCIAL AID,TUITION DISCOUNTS,MERIT AID,,,230,4,20,,,6524751,48070,205000,,,"","","",,,FAIR MARKET VALUE,FAIR MARKET VALUE,FAIR MARKET VALUE,,,ELIGIBLE STUDENTS RECEIVE A CREDIT ON TUITION,"BOOKS, SUPPLIES, INSURANCE, ETC.",ELIGIBLE STUDENTS RECEIVE A CREDIT ON TUITION,,
390806363,WAYLAND ACADEMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232263178,THE HILLSIDE SCHOOL,SCHOLARSHIPS FOR TUITION,,,,,30,,,,,390050,,,,,0,,,,,"",,,,,"",,,,
020222239,TILTON SCHOOL,157 STUDENTS WERE AWARDED FINANCIAL AID AND SCHOLARSHIPS FOR THE YEAR.,,,,,157,,,,,"",,,,,3985235,,,,,FMV,,,,,TUITION REDUCTION,,,,
060646888,SALISBURY SCHOOL INC,Financial aid and tuition remission,,,,,108,,,,,"",,,,,3109409,,,,,FMV,,,,,financial aid,,,,
042108341,Allen-Chase Foundation,financial aid to students - regular tuition and fees,financial aid to students - summer sessions,,,,60,14,,,,"","",,,,1808903,67894,,,,fmv,FMV,,,,financial assistance,financial assistance,,,
520591413,SAINT JAMES SCHOOL,FINANCIAL AID & OTHER SCHOLARSHIPS,MERIT & OTHER AWARDS,,,,109,9,,,,2556581,45000,,,,"","",,,,"","",,,,"","",,,
141413770,Millbrook School,FINANCIAL AID TO STUDENTS,,,,,91,,,,,"",,,,,3282233,,,,,FAIR MARKET VALUE,,,,,GRANTS REPRESENT FINANCIAL AID PROVIDED TO STUDENTS BASED UPON NEED.,,,,
020147630,HOLDERNESS SCHOOL,FINANCIAL AID TO STUDENTS,,,,,95,,,,,"",,,,,3462713,,,,,FAIR MARKET VALUE,,,,,FINANCIAL AID ASSISTANCE TO ATTEND HOLDERNESS SCHOOL,,,,
510236362,Christchurch School Foundation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020222227,ST PAUL'S SCHOOL,FINANCIAL AID ASSISTANCE TO ATTEND ST. PAUL'S SCHOOL,,,,,209,,,,,"",,,,,10616269,,,,,FAIR MARKET VALUE,,,,,FINANCIAL AID ASSISTANCE AWARDED TO ATTEND ST. PAUL'S SCHOOL,,,,
020222221,THE WHITE MOUNTAIN SCHOOL,FINANCIAL AID,,,,,61,,,,,"",,,,,2206280,,,,,FMV,,,,,SCHOLARSHIP GRANTS AWARDED TO STUDENTS AS A DISCOUNT ON THEIR TUITION.,,,,
042429311,LANDMARK SCHOOL INC,FINANCIAL AID,,,,,53,,,,,753447,,,,,"",,,,,"",,,,,"",,,,
560530248,ASHEVILLE SCHOOL INC,SCHOLARSHIPS/FINANCIAL AI,,,,,68,,,,,1972595,,,,,"",,,,,N/A,,,,,N/A,,,,
042103636,WALNUT HILL SCHOOL FOR THE ARTS,FINANCIAL AID,,,,,167,,,,,3532938,,,,,"",,,,,"",,,,,"",,,,
020223317,Brewster Academy,Financial Aid,,,,,144,,,,,0,,,,,4465520,,,,,FMV,,,,,Brewster Academy provides financial aid to students based on need,,,,
