Filer-EIN,Filer-BusinessName-BusinessNameLine1Txt,Desc-1,Desc-2,Desc-3,BusinessCd-1,BusinessCd-2,BusinessCd-3,TotalRevenueColumnAmt-1,TotalRevenueColumnAmt-2,TotalRevenueColumnAmt-3,ExclusionAmt-1,ExclusionAmt-2,ExclusionAmt-3
540505878,CHATHAM HALL,,,,,,,,,,,,
042104273,MISS HALL'S SCHOOL INC,SUMMER BOARDING,SCHOOL STORE,OTHER,721310,611600,721310,423253,15121,2325,"",15121,""
041975990,THE WILLISTON NORTHAMPTON SCHOOL,AUXILIARY SERVICES,ANCILLARY SERVICES,,531120,611710,,976559,246156,,"","",
390806363,WAYLAND ACADEMY,,,,,,,,,,,,
232263178,THE HILLSIDE SCHOOL,,,,,,,,,,,,
020222239,TILTON SCHOOL,,,,,,,,,,,,
060646888,SALISBURY SCHOOL INC,Other revenues,,,999999,,,297490,,,"",,
042108341,Allen-Chase Foundation,auxiliary activities,INSURANCE REIMBURSE.,,611710,900099,,74787,65233,,"",65233,
520591413,SAINT JAMES SCHOOL,OTHER PLANT INCOME,ADMINISTRATIVE INCOME,,900099,900099,,56776,35620,,"","",
141413770,Millbrook School,,,,,,,,,,,,
020147630,HOLDERNESS SCHOOL,,,,,,,,,,,,
510236362,Christchurch School Foundation,OTHER INCOME,,,611600,,,17421,,,"",,
020222227,ST PAUL'S SCHOOL,CHILDREN'S LEARNING CT,MISCELLANEOUS REVENUE,,624410,900099,,626891,58919,,626891,"",
020222221,THE WHITE MOUNTAIN SCHOOL,FEES & MISC INCOME,,,900099,,,50639,,,"",,
042429311,LANDMARK SCHOOL INC,,,,,,,,,,,,
560530248,ASHEVILLE SCHOOL INC,OTHER,CHG IN SPLIT-INT AGREEMENT,,611710,611710,,132334,-1301,,"","",
042103636,WALNUT HILL SCHOOL FOR THE ARTS,,,,,,,,,,,,
020223317,Brewster Academy,Distribution from beneficial trus,,,900099,,,260874,,,260874,,
020223634,THE NEW HAMPTON SCHOOL,,,,,,,,,,,,
020222179,PROCTOR ACADEMY,SKI HILL INCOME,HOCKEY RINK INCOME,CONFERENCE INCOME,713990,713940,722410,81818,48936,31690,"","",""
020222147,KIMBALL UNION ACADEMY,CHILD CARE FEES - NON-,CHILD CARE FEES - KUA,ATHLETIC FACILITY RENT,624410,624410,713940,81754,65961,49907,"",65961,""
050270487,THE WINCHENDON SCHOOL INC,ice rink rental,miscellaneous income,greens fees and cart rental,713990,900099,713910,141068,90478,40379,"",90478,""
231365963,REGENTS OF THE MERCERSBURG COLLEGE,DINING HALL,OTHER REVENUE,LAUNDROMAT,900099,900099,900099,53586,50416,18651,47262,50416,18651
060646961,WESTOVER SCHOOL INC,MISCELLANEOUS INCOME,,,611710,,,24854,,,"",,
060646786,Miss Porter's School Inc,daycare center,,,624410,,,148597,,,148597,,
