Filer-EIN,Filer-BusinessName-BusinessNameLine1Txt,Desc-1,Desc-2,Desc-3,Desc-4,TotalAmt-1,TotalAmt-2,TotalAmt-3,TotalAmt-4,ProgramServicesAmt-1,ProgramServicesAmt-2,ProgramServicesAmt-3,ProgramServicesAmt-4
540505878,CHATHAM HALL,STUDENT SUPPORT,OPERATIONS AND MAINTENA,GENERAL INSTITUTIONAL,INSTRUCTION,623890,379616,332231,198983,623890,379616,332231,198983
042104273,MISS HALL'S SCHOOL INC,FOOD SERVICE,CONTRACTED SERVICES,STUDENT ACTIVITIES,MISCELLANEOUS,942899,396405,257375,164846,942899,311832,257375,""
041975990,THE WILLISTON NORTHAMPTON SCHOOL,FOOD,OUTSIDE CONTRACTORS,EQUIPMENT RENTAL AND MA,SUPPLIES,1745422,557679,535602,291386,1671741,245434,421379,224405
390806363,WAYLAND ACADEMY,DUES AND SUBSCRIPTIONS,BANK AND CREDIT CARD FE,BAD DEBT EXPENSE,,52022,25532,23065,,30275,15110,"",
232263178,THE HILLSIDE SCHOOL,INSTRUCTIONAL MATERIALS,DEVELOPMENT AND MARKETI,SUMMER SCHOOL,LICENSE/DUES,21960,14844,13634,7605,21960,"",13634,""
020222239,TILTON SCHOOL,OPRTN & MAINT. OF PLANT,ANCILLARY SERVICES,ADMINISTRATIVE & OTHER,TUITION REMISSION,1224394,995798,902397,285750,1224394,995798,"",""
060646888,SALISBURY SCHOOL INC,Supplies,Student incidentals,General expenses,,378199,1324712,213963,,357310,1158953,211347,
042108341,Allen-Chase Foundation,dining hall,academic and res. life,equip rental and maint.,DEVELOPMENT EXPENSES,803985,283251,189244,156123,803985,283251,150195,""
520591413,SAINT JAMES SCHOOL,SERVICES,EQUIPMENT RENTAL & MAIN,INSTRUCTIONAL MATERIALS,STUDENT ACTIVITIES,1230261,939870,194398,156213,1089061,552944,194398,156213
141413770,Millbrook School,FOOD SERVICE,repairs and maintenance,"INSTRUCTIONAL, ATHLETIC","alumni, publications an",1103488,910762,885020,359246,1103488,819686,885020,""
020147630,HOLDERNESS SCHOOL,RESIDENTIAL SERVICES,ATHLETICS,TUITION REMISSION,SUMMER PROGRAM,616562,422084,398250,382347,616562,422084,398250,382347
510236362,Christchurch School Foundation,Bad debt Loss,,,,18487,,,,"",,,
020222227,ST PAUL'S SCHOOL,SUPPLIES FOR PROGRAMS,EDU SUPPORT FOR PROGRAM,ENTERTAINMENT/SPEC EVNT,DUES AND MEMBERSHIPS,1961481,1393904,757233,299441,1961481,1393904,544740,263958
020222221,THE WHITE MOUNTAIN SCHOOL,FOOD SERVICES EXPENSES,ADMISSION EXPENSES,INSTITUTIONAL EXPENSES,BAD DEBT EXPENSE,285313,134018,133293,103200,285313,"",133293,67729
042429311,LANDMARK SCHOOL INC,MEALS,PROG SUPPLIES & MATERIALS,LITIGATION SETTLEMENT,STAFF TRAINING,1365911,799919,452500,190994,1364522,799919,452500,190994
560530248,ASHEVILLE SCHOOL INC,ADMINISTRATIVE-OTHER,STUDENT SUPPORT SERVICE-F,INSTRUCTIONAL-OTHER,STUDENT ACTIVITIES-OTHER,1256899,1009749,824608,666828,"",1009749,824608,666828
042103636,WALNUT HILL SCHOOL FOR THE ARTS,FOOD SERVICE,INSTRUCTIONAL PROGRAM E,OTHER EXPENSE,ENTERTAINMENT,1462024,961312,469666,122233,1462024,961312,126943,3550
020223317,Brewster Academy,Student Related,Plant Expense,Dining Hall,Goods Held for Resale,831996,742956,599801,127847,831996,742956,599801,127847
020223634,THE NEW HAMPTON SCHOOL,OTHER EXPENSES,SUPPLIES,STUDENT ACTIVITIES,PROVISION FOR UNCOLLECT,1106084,746414,569544,420000,769546,746414,569544,420000
020222179,PROCTOR ACADEMY,OFF-CAMPUS PROGRAMS,INSTRUCTIONAL ATHLETICS,GENERAL INSTRUCTION,MISCELLANEOUS,732537,657560,429284,375911,732537,657560,429284,164860
020222147,KIMBALL UNION ACADEMY,EDUCATIONAL EXPENSES,PLANT EXPENSE,SCHOOL- GENERAL,UNAMORTIZED BOND ISSUAN,2314566,441670,397418,219837,2314566,441670,182851,""
050270487,THE WINCHENDON SCHOOL INC,food service and relate,Admissions Departmental,Administrative,educational expenses an,921509,380352,336523,225084,921509,"","",225084
231365963,REGENTS OF THE MERCERSBURG COLLEGE,TAXES,FOOD,RENOVATIONS,CURRICULUM DEVELOPMENT,97910,1822272,692131,683813,"",1822272,125,683813
060646961,WESTOVER SCHOOL INC,FOOD DINING HALL,MISCELLANEOUS,DEPARTMENTAL SUPPLIES,SPECIAL EVENTS,812843,662947,634263,138155,812843,461641,248099,45932
060646786,Miss Porter's School Inc,departmental events and,membership dues,restricted operating ex,,420532,76165,58963,,232921,54679,58573,
060689699,ETHEL WALKER SCHOOL INC,LOSS ON REFINANCING OF,CONTRACT HELP,PURCHASED SERVICES,OTHER RIDING EXPENSES,1549342,438960,419367,288984,1549342,438960,332908,288984
042105775,TRUSTEES OF LAWRENCE ACADEMY,FOOD SERVICE,SUMMER EXPENSES,ATHLETIC EXPENSES,ACADEMIC DEPT. EXPENSES,1348874,647768,304075,220445,1348874,647768,304075,220445
060910420,CHOATE ROSEMARY HALL FOUNDATION,MAINTENANCE & REPAIR,OUTSIDE RENTALS,MINOR EQUIMENT PURCHASE,GIFTS & RECOGNITION,2086128,208637,131927,128336,2085988,143552,117518,85157
210639868,The Hun School of Princeton,REPAIRS & MAINTENANCE,BAD DEBT EXPENSE,CONTRACTED SERVICES,SPECIAL PROGRAMS,289665,169791,2594608,672536,239410,"",2423780,500311
010211509,GOULD ACADEMY,DINING,MISCELLANEOUS,STUDENT PROGRAMS,SUPPLIES & EQUIPMENT,717201,444285,426282,285963,717201,263778,426282,274595
231352656,LINDEN HALL SCHOOL FOR GIRLS,INSTRUCTIONAL EXPENSES,COMMUNICATIONS,EQUIPMENT RENTAL,BAD DEBT,1126984,51266,29087,20913,1046504,44,"",20913
