Filer-EIN,Filer-BusinessName-BusinessNameLine1Txt,BOYAmt-1,EOYAmt-1
540505878,CHATHAM HALL,,
042104273,MISS HALL'S SCHOOL INC,0,1688783
041975990,THE WILLISTON NORTHAMPTON SCHOOL,1488873,1782528
390806363,WAYLAND ACADEMY,126315,110020
232263178,THE HILLSIDE SCHOOL,,
020222239,TILTON SCHOOL,3110471,4103824
060646888,SALISBURY SCHOOL INC,51869834,38866518
042108341,Allen-Chase Foundation,,
520591413,SAINT JAMES SCHOOL,,
141413770,Millbrook School,79159,73515
020147630,HOLDERNESS SCHOOL,119400,185102
510236362,Christchurch School Foundation,839670,298358
020222227,ST PAUL'S SCHOOL,14083974,16728014
020222221,THE WHITE MOUNTAIN SCHOOL,1626998,1536638
042429311,LANDMARK SCHOOL INC,750111,839753
560530248,ASHEVILLE SCHOOL INC,71900,68953
042103636,WALNUT HILL SCHOOL FOR THE ARTS,49319,49319
020223317,Brewster Academy,634796,646585
020223634,THE NEW HAMPTON SCHOOL,262025,476830
020222179,PROCTOR ACADEMY,2487420,2488974
020222147,KIMBALL UNION ACADEMY,2721557,4113812
050270487,THE WINCHENDON SCHOOL INC,672723,509403
231365963,REGENTS OF THE MERCERSBURG COLLEGE,12457662,15640450
060646961,WESTOVER SCHOOL INC,481894,240805
060646786,Miss Porter's School Inc,102302,94956
060689699,ETHEL WALKER SCHOOL INC,447090,1186178
042105775,TRUSTEES OF LAWRENCE ACADEMY,,
060910420,CHOATE ROSEMARY HALL FOUNDATION,11317783,14177447
210639868,The Hun School of Princeton,3088323,1922960
010211509,GOULD ACADEMY,277492,694106
231352656,LINDEN HALL SCHOOL FOR GIRLS,126416,34600
060655480,AVON OLD FARMS SCHOOL INC,3507670,4849041
060647018,THE HOTCHKISS SCHOOL,33541644,42031654
060646921,THE TAFT SCHOOL CORPORATION,5400206,5246667
340714390,WESTERN RESERVE ACADEMY,2975934,3397706
382015048,CRANBROOK EDUCATIONAL COMMUNITY,67856,101185
520591645,OLDFIELDS SCHOOL INC,,
350868071,Culver Educational Foundation,28860427,38911003
042103579,TRUSTEES OF PHILLIPS ACADEMY,32147042,33950551
042103623,ST MARK'S SCHOOL OF SOUTHBOROUGH INC,912345,864762
042105838,WILBRAHAM AND MONSON ACADEMY,963533,1210004
042103573,THE FAY SCHOOL INC,7407413,10704100
010211532,KENTS HILL SCHOOL,1068302,1191720
210634492,The Peddie School,1350209,1685706
620475837,THE MCCALLIE SCHOOL,10395877,17616530
131740472,MASTERS SCHOOL,,
951644630,CATE SCHOOL,501493,485023
060692379,RUMSEY HALL SCHOOL INC,776555,957938
250995765,KISKIMINETAS SPRINGS SCHOOL,5473690,6148405
010880911,Ross Institute,246096,332768
141601551,TRINITY-PAWLING SCHOOL CORPORATION,55937,102684
540505925,THE MADEIRA SCHOOL INC,2967892,3888115
060646648,Forman School Inc,,
010221344,BRIDGTON ACADEMY,39892,64989
050259009,ST GEORGE'S SCHOOL,2079980,1877127
042105855,WORCESTER ACADEMY,245005,235298
870290194,WASATCH ACADEMY,746167,846548
231352667,PERKIOMEN SCHOOL,581738,707041
060646805,The Rectory School Inc,417702,568858
362216167,LAKE FOREST ACADEMY,1493955,1159130
042104265,GROTON SCHOOL,11000143,13867007
141338390,EMMA WILLARD SCHOOL,,
231370498,Church Farm School,7541306,6051217
060646661,THE GUNNERY INC,,
510079506,St Andrew's School Of Delaware Inc,4024749,4292030
042103574,THE FESSENDEN SCHOOL,1717718,2319773
060678539,SUFFIELD ACADEMY,93183,78403
042103564,THE GOVERNOR'S ACADEMY,4139792,5535152
540506326,THE PROTESTANT EPISCOPAL HIGH SCHOOL,59767,59778
410696908,SHATTUCK-ST MARY'S SCHOOL,3166848,4030767
210634503,THE LAWRENCEVILLE SCHOOL,17742141,21711266
050262717,ST ANDREW'S SCHOOL,330480,217590
042104048,THE TRUSTEES OF CUSHING ACADEMY,3099014,2954314
540505868,THE BLUE RIDGE SCHOOL INC,85449,61601
580566169,DARLINGTON SCHOOL INC,1621092,1462851
141430542,NORTH COUNTRY SCHOOL INC,151018,133702
060646681,INDIAN MOUNTAIN SCHOOL INC,193488,195270
042103562,Dana Hall School,691091,642786
042121313,BERKSHIRE SCHOOL INC,255657,232851
116112414,THE STONY BROOK SCHOOL,234425,153530
060646784,Pomfret School Incorporated,1696461,1517851
030179600,VERMONT ACADEMY,3446835,4020601
540505898,FOXCROFT SCHOOL,,
941156652,SANTA CATALINA SCHOOL,279000,217000
231352647,THE HILL SCHOOL,4662732,4254559
560532314,SAINT MARYS SCHOOL,723135,918464
951856591,THE WEBB SCHOOLS,2342528,3045146
520591516,GARRISON FOREST SCHOOL INC,409193,409193
951642398,The Thacher School,,
042103632,Tabor Academy,10632493,14365769
042103563,TRUSTEES OF DEERFIELD ACADEMY,3841146,3743291
016021559,Hyde School,3626394,3298209
060662137,HAMDEN HALL SCHOOL INC,3437418,4909744
042103964,THE CAMBRIDGE SCHOOL OF WESTON INC,,
930630376,Delphi Schools Inc,195609,131541
060653119,THE LOOMIS INSTITUTE,682689,651234
562108610,WINSTON SALEM ACADEMY INC,270724,120405
020223580,CARDIGAN MOUNTAIN SCHOOL,74767,81974
060662113,THE CHESHIRE ACADEMY,,
221500475,BLAIR ACADEMY,,
041200600,CONCORD ACADEMY,840702,906788
540519590,WOODBERRY FOREST SCHOOL,14523725,17503839
221756952,PURNELL SCHOOL,176283,438730
060646960,TRUSTEES OF WESTMINSTER SCHOOL INC,1888357,2492344
042130844,BROOKS SCHOOL,1490684,1317763
030179305,PUTNEY SCHOOL INC,70117,0
520591488,CORPORATION OF ST TIMOTHY'S SCHOOL,146599,164293
020222174,PHILLIPS EXETER ACADEMY,69885622,75785160
042103603,MILTON ACADEMY,1844153,1873826
580593430,Rabun Gap-Nacoochee School,1444805,1489862
042103821,MIDDLESEX SCHOOL,9200887,8544407
210635004,THE PENNINGTON SCHOOL,320371,351845
060646566,CANTERBURY SCHOOL INC,2615961,2838125
061623476,The Trinity Foundation dba Marianapolis Preparatory School,,
042109865,NORTHFIELD MOUNT HERMON SCHOOL,16013787,30566608
