Filer-EIN,Filer-BusinessName-BusinessNameLine1Txt,PersonNm-1,PersonNm-2,PersonNm-3,PersonNm-4,PersonNm-5,PersonNm-6,PersonNm-7,PersonNm-8,PersonNm-9,PersonNm-10,PersonNm-11,PersonNm-12,PersonNm-13,PersonNm-14,PersonNm-15,PersonNm-16,PersonNm-17,PersonNm-18,PersonNm-19,PersonNm-20,PersonNm-21,PersonNm-22,PersonNm-23,PersonNm-24,PersonNm-25,PersonNm-26,PersonNm-27,PersonNm-28,PersonNm-29,PersonNm-30,PersonNm-31,PersonNm-32,PersonNm-33,PersonNm-34,PersonNm-35,PersonNm-36,PersonNm-37,PersonNm-38,PersonNm-39,PersonNm-40,PersonNm-41,PersonNm-42,PersonNm-43,PersonNm-44,PersonNm-45,PersonNm-46,PersonNm-47,PersonNm-48,PersonNm-49,TitleTxt-1,TitleTxt-2,TitleTxt-3,TitleTxt-4,TitleTxt-5,TitleTxt-6,TitleTxt-7,TitleTxt-8,TitleTxt-9,TitleTxt-10,TitleTxt-11,TitleTxt-12,TitleTxt-13,TitleTxt-14,TitleTxt-15,TitleTxt-16,TitleTxt-17,TitleTxt-18,TitleTxt-19,TitleTxt-20,TitleTxt-21,TitleTxt-22,TitleTxt-23,TitleTxt-24,TitleTxt-25,TitleTxt-26,TitleTxt-27,TitleTxt-28,TitleTxt-29,TitleTxt-30,TitleTxt-31,TitleTxt-32,TitleTxt-33,TitleTxt-34,TitleTxt-35,TitleTxt-36,TitleTxt-37,TitleTxt-38,TitleTxt-39,TitleTxt-40,TitleTxt-41,TitleTxt-42,TitleTxt-43,TitleTxt-44,TitleTxt-45,TitleTxt-46,TitleTxt-47,TitleTxt-48,TitleTxt-49,AverageHoursPerWeekRt-1,AverageHoursPerWeekRt-2,AverageHoursPerWeekRt-3,AverageHoursPerWeekRt-4,AverageHoursPerWeekRt-5,AverageHoursPerWeekRt-6,AverageHoursPerWeekRt-7,AverageHoursPerWeekRt-8,AverageHoursPerWeekRt-9,AverageHoursPerWeekRt-10,AverageHoursPerWeekRt-11,AverageHoursPerWeekRt-12,AverageHoursPerWeekRt-13,AverageHoursPerWeekRt-14,AverageHoursPerWeekRt-15,AverageHoursPerWeekRt-16,AverageHoursPerWeekRt-17,AverageHoursPerWeekRt-18,AverageHoursPerWeekRt-19,AverageHoursPerWeekRt-20,AverageHoursPerWeekRt-21,AverageHoursPerWeekRt-22,AverageHoursPerWeekRt-23,AverageHoursPerWeekRt-24,AverageHoursPerWeekRt-25,AverageHoursPerWeekRt-26,AverageHoursPerWeekRt-27,AverageHoursPerWeekRt-28,AverageHoursPerWeekRt-29,AverageHoursPerWeekRt-30,AverageHoursPerWeekRt-31,AverageHoursPerWeekRt-32,AverageHoursPerWeekRt-33,AverageHoursPerWeekRt-34,AverageHoursPerWeekRt-35,AverageHoursPerWeekRt-36,AverageHoursPerWeekRt-37,AverageHoursPerWeekRt-38,AverageHoursPerWeekRt-39,AverageHoursPerWeekRt-40,AverageHoursPerWeekRt-41,AverageHoursPerWeekRt-42,AverageHoursPerWeekRt-43,AverageHoursPerWeekRt-44,AverageHoursPerWeekRt-45,AverageHoursPerWeekRt-46,AverageHoursPerWeekRt-47,AverageHoursPerWeekRt-48,AverageHoursPerWeekRt-49,HighestCompensatedEmployeeInd-1,HighestCompensatedEmployeeInd-2,HighestCompensatedEmployeeInd-3,HighestCompensatedEmployeeInd-4,HighestCompensatedEmployeeInd-5,HighestCompensatedEmployeeInd-6,HighestCompensatedEmployeeInd-7,HighestCompensatedEmployeeInd-8,HighestCompensatedEmployeeInd-9,HighestCompensatedEmployeeInd-10,HighestCompensatedEmployeeInd-11,HighestCompensatedEmployeeInd-12,HighestCompensatedEmployeeInd-13,HighestCompensatedEmployeeInd-14,HighestCompensatedEmployeeInd-15,HighestCompensatedEmployeeInd-16,HighestCompensatedEmployeeInd-17,HighestCompensatedEmployeeInd-18,HighestCompensatedEmployeeInd-19,HighestCompensatedEmployeeInd-20,HighestCompensatedEmployeeInd-21,HighestCompensatedEmployeeInd-22,HighestCompensatedEmployeeInd-23,HighestCompensatedEmployeeInd-24,HighestCompensatedEmployeeInd-25,HighestCompensatedEmployeeInd-26,HighestCompensatedEmployeeInd-27,HighestCompensatedEmployeeInd-28,HighestCompensatedEmployeeInd-29,HighestCompensatedEmployeeInd-30,HighestCompensatedEmployeeInd-31,HighestCompensatedEmployeeInd-32,HighestCompensatedEmployeeInd-33,HighestCompensatedEmployeeInd-34,HighestCompensatedEmployeeInd-35,HighestCompensatedEmployeeInd-36,HighestCompensatedEmployeeInd-37,HighestCompensatedEmployeeInd-38,HighestCompensatedEmployeeInd-39,HighestCompensatedEmployeeInd-40,HighestCompensatedEmployeeInd-41,HighestCompensatedEmployeeInd-42,HighestCompensatedEmployeeInd-43,HighestCompensatedEmployeeInd-44,HighestCompensatedEmployeeInd-45,HighestCompensatedEmployeeInd-46,HighestCompensatedEmployeeInd-47,HighestCompensatedEmployeeInd-48,HighestCompensatedEmployeeInd-49,ReportableCompFromOrgAmt-1,ReportableCompFromOrgAmt-2,ReportableCompFromOrgAmt-3,ReportableCompFromOrgAmt-4,ReportableCompFromOrgAmt-5,ReportableCompFromOrgAmt-6,ReportableCompFromOrgAmt-7,ReportableCompFromOrgAmt-8,ReportableCompFromOrgAmt-9,ReportableCompFromOrgAmt-10,ReportableCompFromOrgAmt-11,ReportableCompFromOrgAmt-12,ReportableCompFromOrgAmt-13,ReportableCompFromOrgAmt-14,ReportableCompFromOrgAmt-15,ReportableCompFromOrgAmt-16,ReportableCompFromOrgAmt-17,ReportableCompFromOrgAmt-18,ReportableCompFromOrgAmt-19,ReportableCompFromOrgAmt-20,ReportableCompFromOrgAmt-21,ReportableCompFromOrgAmt-22,ReportableCompFromOrgAmt-23,ReportableCompFromOrgAmt-24,ReportableCompFromOrgAmt-25,ReportableCompFromOrgAmt-26,ReportableCompFromOrgAmt-27,ReportableCompFromOrgAmt-28,ReportableCompFromOrgAmt-29,ReportableCompFromOrgAmt-30,ReportableCompFromOrgAmt-31,ReportableCompFromOrgAmt-32,ReportableCompFromOrgAmt-33,ReportableCompFromOrgAmt-34,ReportableCompFromOrgAmt-35,ReportableCompFromOrgAmt-36,ReportableCompFromOrgAmt-37,ReportableCompFromOrgAmt-38,ReportableCompFromOrgAmt-39,ReportableCompFromOrgAmt-40,ReportableCompFromOrgAmt-41,ReportableCompFromOrgAmt-42,ReportableCompFromOrgAmt-43,ReportableCompFromOrgAmt-44,ReportableCompFromOrgAmt-45,ReportableCompFromOrgAmt-46,ReportableCompFromOrgAmt-47,ReportableCompFromOrgAmt-48,ReportableCompFromOrgAmt-49,OtherCompensationAmt-1,OtherCompensationAmt-2,OtherCompensationAmt-3,OtherCompensationAmt-4,OtherCompensationAmt-5,OtherCompensationAmt-6,OtherCompensationAmt-7,OtherCompensationAmt-8,OtherCompensationAmt-9,OtherCompensationAmt-10,OtherCompensationAmt-11,OtherCompensationAmt-12,OtherCompensationAmt-13,OtherCompensationAmt-14,OtherCompensationAmt-15,OtherCompensationAmt-16,OtherCompensationAmt-17,OtherCompensationAmt-18,OtherCompensationAmt-19,OtherCompensationAmt-20,OtherCompensationAmt-21,OtherCompensationAmt-22,OtherCompensationAmt-23,OtherCompensationAmt-24,OtherCompensationAmt-25,OtherCompensationAmt-26,OtherCompensationAmt-27,OtherCompensationAmt-28,OtherCompensationAmt-29,OtherCompensationAmt-30,OtherCompensationAmt-31,OtherCompensationAmt-32,OtherCompensationAmt-33,OtherCompensationAmt-34,OtherCompensationAmt-35,OtherCompensationAmt-36,OtherCompensationAmt-37,OtherCompensationAmt-38,OtherCompensationAmt-39,OtherCompensationAmt-40,OtherCompensationAmt-41,OtherCompensationAmt-42,OtherCompensationAmt-43,OtherCompensationAmt-44,OtherCompensationAmt-45,OtherCompensationAmt-46,OtherCompensationAmt-47,OtherCompensationAmt-48,OtherCompensationAmt-49
540505878,CHATHAM HALL,STACEY GOODWIN,SARAH LONGPRE,DONIE CARLSON,LAURA CRONIN,JANE GARNETT,LUCY BARRETT,RICHARD HARE,KATHARINE BULKLEY,KATHERINE HAROLDSON,MELANIE HOLTON,KATHARINE CHANDLER,MARY KARZAS,DR SARAH COLLIE,JOHN RUNNELLS,DIANA FISKETJON,ROBIN STUART,MICHELLE SUPKO,SUZANNE BUCK,RONALD MERRICKS,CHRISTINE KNIGHT,CARNEY O'BRIEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHAIRMAN,VICE CHAIRMAN,SECRETARY,TREASURER,DIRECTOR,DIRECTOR,DIRECTOR,DIRECTOR,DIRECTOR,DIRECTOR,DIRECTOR,DIRECTOR,DIRECTOR,DIRECTOR,DIRECTOR,DIRECTOR,DIRECTOR,RECTOR,CHIEF FINANCIAL & FACILITI,DIRECTOR OF ADVANCEMENT,DIRECTOR OF ENROLLMENT MAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,10.00,10.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,40.00,40.00,40.00,40.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","",X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233475,108734,122400,102000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42484,16466,11744,16407,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042104273,MISS HALL'S SCHOOL INC,CHARLES PLATT,LAURA H HARRIS,ALICE BUTLER BURNHAM,SUSAN ROWLAND CHOLLET,BARBARA J COOPERMAN,STACEY SOTIRHOS GONEOS,TERRY TRIEST GUYLAY,PAULA WOOD LOUD,CAROLINE RUTTER FRAZER,CHRISTOPHER POPE,MARTHA BULLOCK,CORNELIA CABOT WHITING,SUZANNE WILSON,AMY CHURCH WOOD,REBECCA HAJJAR,JANE S JOUKOWSKY,STEPHANIE LAWLOR KADNAR,JOY KISER,SCOTT QUIGG,CAROLYN GREEN,JENNIFER PERKINS SPEERS,NANCY GUSTAFSON AULT,EDITH STETSON YOVU,ALISHA ARNOLD FOSTER,JONATHAN POORVU,STACY KIRK REICH,SUZANNE BAUMGARTEN,JULIA HEATON,DIANE WORTIS,JULIA BRADLEY,,,,,,,,,,,,,,,,,,,,VICE PRESIDENT,BOARD OF TRUSTEES,VICE PRESIDENT,BOARD OF TRUSTEES,BOARD OF TRUSTEES,PRESIDENT,BOARD OF TRUSTEES,BOARD OF TRUSTEES,BOARD OF TRUSTEES,VICE PRESIDENT,BOARD OF TRUSTEES,CLERK,BOARD OF TRUSTEES,BOARD OF TRUSTEES,BOARD OF TRUSTEES,TREASURER,BOARD OF TRUSTEES,BOARD OF TRUSTEES,BOARD OF TRUSTEES,BOARD OF TRUSTEES,BOARD OF TRUSTEES,BOARD OF TRUSTEES,BOARD OF TRUSTEES,BOARD OF TRUSTEES,BOARD OF TRUSTEES,BOARD OF TRUSTEES,DIRECTOR OF FINANCE,HEAD OF SCHOOL,DIRECTOR OF DEVELOPMENT,DIRECTOR OF ADMISSIONS,,,,,,,,,,,,,,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,50.00,50.00,50.00,50.00,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126511,244646,108764,115529,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20118,24440,20588,14943,,,,,,,,,,,,,,,,,,,
041975990,THE WILLISTON NORTHAMPTON SCHOOL,FRED ALLARDYCE,MARY E ALCOCK,JAMES M BRENNAN SR,DANIEL DECELLES,CYRUS E DRIVER,JAMES M DUBIN,MIKE JACKSON,JOHN P BOOTH JR,R KEITH DENHOLM,H REID STERRETT IV,JOHN HAZEN WHITE JR,STEWART B REED,WHITNEY F SMALL,KEVIN R HOBEN,LEWIS RABINOVITZ,BRADLEY S FOSTER,RICHARD S WAGMAN,DR R SCOTT COWAN,WILLIAM V FOGG,RICHARD T MONOPOLI,WILLIAM P MORRISON,MIJANOU MALISE SPURDLE,CLAIRE KELLEY HARDON,CLAYTON T HARDON JR,ALEX H PARK,ROBERT W HILL III,CHARLES B MCCULLAGH JR,ERIC YATES,JEFFREY KETCHAM,ANN PICKRELL,,,,,,,,,,,,,,,,,,,,SECRETARY,TRUSTEE,TRUSTEE,TREASURER,TRUSTEE,PRESIDENT,TRUSTEE,TRUSTEE,TRUSTEE,TRUSTEE,VICE PRESIDENT,TRUSTEE,TRUSTEE,VICE PRESIDENT,TRUSTEE,TRUSTEE,TRUSTEE,TRUSTEE,TRUSTEE,TRUSTEE,TRUSTEE,TRUSTEE,TRUSTEE,TRUSTEE,TRUSTEE,HEAD OF SCHOOL,"ASST. TREASURER, CFO","ASST. SECRETARY, CAO",ASSOCIATE HEAD OF SCHOOL,ASST. HEAD OF SCHOOL,,,,,,,,,,,,,,,,,,,,5.00,2.00,2.00,2.00,2.00,7.00,2.00,2.00,2.00,2.00,5.00,2.00,2.00,5.00,5.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,40.00,40.00,40.00,40.00,40.00,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289300,190095,148948,129040,118900,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125568,36324,102495,45729,24440,,,,,,,,,,,,,,,,,,,
390806363,WAYLAND ACADEMY,WILLIAM LUEDKE IV,ROSINA SAMADANI PHD,ELIZABETH PARKER,MICHAEL VANHAREN,JAMES DOWNING,RICHARD KIMBERLY,PETE SENSENBRENNER,TERRENCE WILSON,JOE GREEN,JAMES JANIK,DAVID LARSON,JOHN MCCONNELL,JANET MILLERMAIER,PETE PATTERSON,BURNETT SULLIVAN,SHELLEY GREENWOOD,PATRICIA MARTIN,JOHN MCKINSTRY,JOE LENNERTZ,RODNEY MILLER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHAIR,VICE CHAIR,VICE CHAIR,SECRETARY,TREASURER,TRUSTEE,TRUSTEE,TRUSTEE,TRUSTEE,TRUSTEE,TRUSTEE,TRUSTEE,TRUSTEE,TRUSTEE,TRUSTEE,TRUSTEE,TRUSTEE,TRUSTEE,HEAD OF SCHOOL,CHIEF FINANCIAL OFFICER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00,6.00,6.00,6.00,6.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,40.00,40.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139744,103980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25522,13671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232263178,THE HILLSIDE SCHOOL,MR FREDERICK DUCKLOE,MS MARILYN L MARLES,MS SANDRA WAGAMAN,MS GRETCHEN KRASLEY,MR JOHN M KERR,MS AMY EDGAR,MS NICOLE CADWALADER,MR JOSEPH NAPOLITANO,MS EVANDRA COLLIGAS,MS ANNE SCHOTT,MR STEVEN CWIENKALA,MR JIM EDWARDS,MR ROBERT GOEHLER,MR JONATHAN SIMON,MR MARK E TORO,MR THOMAS KENYON,MR LOUIS GALRAO,MS MARALEEN SHIELDS,MS BARBARA HORNBERGER,MR BERNARD TELATOVICH,MS DONNA HENRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUSTEE,PRESIDENT,SECRETARY,VICE PRESIDENT,TRUSTEE,TRUSTEE,TRUSTEE,TRUSTEE,TRUSTEE,TRUSTEE,TREASURER,TRUSTEE,TRUSTEE,TRUSTEE,TRUSTEE,TRUSTEE,TRUSTEE,TRUSTEE,TRUSTEE,TRUSTEE,HEAD OF SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,5.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,40.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5842,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020222239,TILTON SCHOOL,SARAH BIRD,J TERRILL JUDD,JOHN MORTON,PETER SALIBA,PATRICK MCNULTY,MARK MCAULIFFE,JAMIE ROME,ELLEN H FINN,SHARON SPANOS,LAWRENCE O'ROURKE,SHARI ROBINSON,ATTY MARK S RUDD,DR ROBERT WILSON,DAN GARVEY,ROBERT GRAHAM,ROBERT RORISTON,DENNIS GAUDET,CHARLES PATTEN,MICHELLE DOWNS,CHRISTOPHER HAMBLET,DAVID MCELHINNY,JASON SCHLOSSBERG,JOHN SHAUGHNESSY,ELIZABETH SHEEHAN,KATHERINE SAUNDERS,CHRISTINE LOUIS,,,,,,,,,,,,,,,,,,,,,,,,BOARD CHAIR,FIRST VICE CHAIR,SECOND VICE CHAIR,HEAD OF SCHOOL,ALUMNI PRESIDENT,SECRETARY,TREASURER,TRUSTEE,TRUSTEE,TRUSTEE,TRUSTEE,TRUSTEE,TRUSTEE,FACULTY TRUSTEE,TRUSTEE,TRUSTEE,TRUSTEE,TRUSTEE,TRUSTEE,TRUSTEE,TRUSTEE,TRUSTEE,TRUSTEE,DIRECTOR OF FINANCE AND OP,DIRECTOR OF ADMISSIONS,DIRECTOR OF DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,,,20.00,10.00,10.00,40.00,3.00,10.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,40.00,3.00,3.00,1.00,3.00,1.00,1.00,1.00,1.00,3.00,40.00,40.00,40.00,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","",X,X,X,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,236871,0,0,0,0,0,0,0,0,0,51787,0,0,0,0,0,0,0,0,0,122456,117058,116138,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,163252,0,0,0,0,0,0,0,0,0,15911,0,0,0,0,0,0,0,0,0,28288,50923,48474,,,,,,,,,,,,,,,,,,,,,,,
060646888,SALISBURY SCHOOL INC,SEE ATTACHED LIST,CHISHOLM CHANDLER,JOHN MAGIERA,DIRCK BARHYDT,MARK SCHMIDT,ROBERT WYNNE,JOSEPHINE LEARY,ANDREW GRAHAM,PETER GILBERT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,of unpaid trustees,Headmaster,Business Manager,Dir. of Development,Chief Financial Officer,Dir. of College Adv,Controller,Director of Leadership Giving,Director of Admissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","",X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,346363,167256,178565,95011,132980,120000,113025,110493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,135037,42933,46265,11368,56637,12000,17724,50437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042108341,Allen-Chase Foundation,HARSHA AGADI,Libby alexander,stephen w bartlett,kathleen beit,mortimer berkowitz,douglas braff,daryl g byrd,charles cahn,EMILY CASPERSEN,Frost Cochran,LAWRENCE CREEL,SALLY DUNGAN,KATHLEEN ELKINS,michael falcone,nina fialkow,frederick friedman,lawrence graham,JONATHAN GRENZKE,JAMES GUBELMANN,william gutfarb,mark holton,melanie holton,paige jernigan,michael klump,joe lotuff,patricia lotuff,liz mclanahan,peter mckillop,prescott miller,frank nelson,troup PARKINSON,steven ROCKWELL,james scHAEFER,weslEY SEIFER,alexANDER TAYLOR,dr eRIC TAYLOR,pamela thomas-graham,judson traphagEN,archibold van Beuren,lucas VAN PRAAG,d scott wise,Andrew Chase,Eric Malloy,karl j koenigsbauer,Theodore Low,David Pivirotto,Paul cyr-mutty,wesley smith,o stuart chase,trustee,trustee,trustee,trustee,trustee,vice president,trustee,trustee,trustee,trustee,outgoing trustee,trustee,trustee,trustee,trustee,trustee,trustee,trustee,trustee,treasurer,trustee,trustee,trustee,trustee,trustee,trustee,outgoing trustee,trustee,trustee,trustee,trustee,trustee,trustee,TRUSTee,TRUSTee,TRUSTee,TRUSTee,trustee,trustee,TRUSTee,president,Headmaster,"cfo, secretary","Placement Director, Treasurer","Admissions Director, Treasurer",director of development,assistant headmaster,project manager,headmaster emeritus; development coordinator,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,50.00,50.00,40.00,40.00,40.00,40.00,40.00,40.00,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305072,173162,127394,106365,122865,116262,112110,101036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75771,39358,37616,40190,29449,38351,30464,35384
520591413,SAINT JAMES SCHOOL,THE REV D STUART DUNNAN,MARY ANN SCHURZ,STUART E TEACH,ROBERT H GARNER,HENRY B DAVENPORT,ANN C DAVIS,J PARKER TURNER IV,JOHN M MATTINGLY,RANDALL W BODNER,CHRISTOPHER BARTON,GEOFFREY P POHANKA,SANDRA L POLLOCK,GEORGE R REINHART,FANXIN MENG,L LUDINGTON SELLS,ROBERTA A WALTERSDORF,EUGENE T SUTTON,ADAM G SHAMPAINE,ROBERT G WINDSOR,STOCKTON N SMITH,GERARDO FERNANDEZ MENA,KYUNG WON CHOI KC KIM,TOD SALISBURY,DONA D YOUNG,WILLIAM WIVELL,,,,,,,,,,,,,,,,,,,,,,,,,HEADMASTER,BOARD MEMBER,BOARD MEMBER,BOARD MEMBER,BOARD MEMBER,BOARD MEMBER,BOARD MEMBER,BOARD MEMBER,BOARD MEMBER,BOARD MEMBER,BOARD MEMBER,ASSOCIATE HEADMASTER,BOARD MEMBER,BOARD MEMBER,BOARD MEMBER,BOARD MEMBER,BOARD MEMBER,BOARD MEMBER,BOARD MEMBER,BOARD MEMBER,BOARD MEMBER,BOARD MEMBER,BOARD MEMBER,BOARD MEMBER,BUSINESS MANAGER,,,,,,,,,,,,,,,,,,,,,,,,,40.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,40.00,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,154791,0,0,0,0,0,0,0,0,0,0,107483,0,0,0,0,0,0,0,0,0,0,0,0,95500,,,,,,,,,,,,,,,,,,,,,,,,,38674,0,0,0,0,0,0,0,0,0,0,13979,0,0,0,0,0,0,0,0,0,0,0,0,7397,,,,,,,,,,,,,,,,,,,,,,,,
141413770,Millbrook School,franCISCO L BORGES,dreW J CASERTANO,peter R CHAPMAN,trevor COLHOUN,morgan conrad,kathlEEN DILL,robert w hALLETT,william r hettinger,christopHER HOLBROOK,theodore karatz,robert s koenigsberger,christINA E LANG-ASSAEL,william menard,tracy merrill,gordon s pennoyer,anne b putnam,GILBERT P SCHAFER III,lisa selz,paul solomon,richard stuckey,charlotTE TRACY,caroline a wamsler,george tWhalen III,robert w Connolly,robert anthony,nancy stahl,jon downs,elizabeth duhoski,,,,,,,,,,,,,,,,,,,,,,tRUSTEE,headmaster,secretary,trustEE,TRUSTEE,truSTEE,outgoing trustee,outgoing trustee,truSTEE,trusTEE,trustee,trustEE,chairman,TRUSTEE,TRUSTEE,TRUSTEE,trUSTEE,tRUSTEE,vice chairman,treasurer,TRUSTEE,TRUSTEE,TRUSTEE,chief financial officer,assistant to the headmaster for external affairs,director of development,director of admissions,"assistant to the headmaster, Dean of Students",,,,,,,,,,,,,,,,,,,,,,1.00,40.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,40.00,40.00,40.00,40.00,40.00,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,X,,,,,,,,,,,,,,,,,,,,,,0,338392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173590,171308,161138,145498,107288,,,,,,,,,,,,,,,,,,,,,,0,128808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49861,41488,26280,52751,33867,,,,,,,,,,,,,,,,,,,,,
