Filer-EIN,Filer-BusinessName-BusinessNameLine1Txt,Desc-1,Desc-2,Desc-3,Desc-4,Desc-5,BusinessCd-1,BusinessCd-2,BusinessCd-3,BusinessCd-4,BusinessCd-5,TotalRevenueColumnAmt-1,TotalRevenueColumnAmt-2,TotalRevenueColumnAmt-3,TotalRevenueColumnAmt-4,TotalRevenueColumnAmt-5,RelatedOrExemptFuncIncomeAmt-1,RelatedOrExemptFuncIncomeAmt-2,RelatedOrExemptFuncIncomeAmt-3,RelatedOrExemptFuncIncomeAmt-4,RelatedOrExemptFuncIncomeAmt-5
540505878,CHATHAM HALL,TUITION,FEES AND OTHER SUPPORT,OTHER,,,611710,611710,611710,,,5793432,100654,79178,,,5793432,100654,79178,,
042104273,MISS HALL'S SCHOOL INC,TUITION & FEES,STUDENT FEES,STUDENT ACTIVITY FEES,,,611600,611600,611710,,,10376327,19022,16705,,,10376327,19022,16705,,
041975990,THE WILLISTON NORTHAMPTON SCHOOL,"TUITION, ROOM & BOARD",,,,,611600,,,,,23626820,,,,,23626820,,,,
390806363,WAYLAND ACADEMY,TUITION AND FEES,CAMP REVENUE,STUDENT FEES,TRANSPORTATION,ACADEMIC TESTING,611110,611710,611710,611710,611710,4773064,57845,57331,37079,19442,4773064,57845,57331,37079,19442
232263178,THE HILLSIDE SCHOOL,TUITION & FEES,SUMMER PROGRAMS,OTHER REVENUE,,,611600,611600,611600,,,1612852,18165,11494,,,1612852,18165,11494,,
020222239,TILTON SCHOOL,TUITION AND FEES,ANCILLARY SERVICES,SUMMER PROGRAMS,,,900099,900099,900099,,,13199268,509667,117352,,,13199268,509667,117352,,
060646888,SALISBURY SCHOOL INC,Student Tuition & Fees,Auxiliary Services,,,,611600,611600,,,,18799881,695397,,,,"","",,,
042108341,Allen-Chase Foundation,tuition and fees,other fees,application fees,,,611710,611710,611710,,,13096667,35009,22175,,,13096667,35009,22175,,
520591413,SAINT JAMES SCHOOL,TUITION AND FEES,INSTRUCTIONAL PROGRAMS,,,,900099,900099,,,,9589199,205664,,,,9589199,205664,,,
141413770,Millbrook School,TUITION AND FEES,PROGRAM SUPPORTING REVENUES AND F,auxiliary income,,,611110,611110,611110,,,17616386,324028,246275,,,17616386,324028,142595,,
